Part ID,Value,Package,Layer,Rotation,MidX,MidY
R1,220R,402,TOP,90,48.26,10.279
R2,330R,402,TOP,90,48.26,12.549
R3,220R,402,TOP,90,46.99,10.279
R4,330R,402,TOP,90,46.99,12.549
R5,220R,402,TOP,90,45.72,10.279
R6,330R,402,TOP,90,45.72,12.549
R7,220R,402,TOP,90,44.45,10.279
R8,330R,402,TOP,90,44.45,12.549
R9,220R,402,TOP,90,43.18,10.279
R10,330R,402,TOP,90,43.18,12.549
R47,220R,402,TOP,90,19.05,10.279
R48,330R,402,TOP,90,19.05,12.549
R49,220R,402,TOP,90,17.78,10.279
R50,330R,402,TOP,90,17.78,12.549
R51,220R,402,TOP,90,16.51,10.279
R52,330R,402,TOP,90,16.51,12.549
R53,220R,402,TOP,90,15.24,10.279
R54,330R,402,TOP,90,15.24,12.549
